brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
FILA,Tênis De Corrida Masculino Recovery Fila ,366,90,295,44,4.7,(44)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,63,12,4.5,(266)
OLYMPIKUS,Tênis Olympikus Masculino Zex Original - Confortável,229,99,190,89,4.9,(17)
OLYMPIKUS,Olympikus Casual Soma Masculino Adultos,208,89,184,30,4.5,(10)
MARATHON,Tênis Esportivo Academia Marathon Max 2 Ok Anti Impacto Leve,169,90,111,15,4.5,(26)
,Kit 2 Pares Tênis Feminino E Masculino Casual Old Off Star,159,90,98,53,4.0,(153)
OLYMPIKUS,Tênis Caminhada Masculino Olympikus Esportivo Oferta Macio,279,99,187,59,4.9,(28)
,Tênis Para Treino Academia Caminhada Corrida Tryd 7000 Leve,109,99,94,05,4.5,(346)
BF SHOES,Tênis Academia Masculino Esportivo Bf Shoes Com Relógio,109,90,89,01,,
UNDER ARMOUR,Tênis Under Armour Academia Caminhada Masculino Charged 2,262,49,209,99,4.8,(318)
OLYMPIKUS,Tênis Masculino Dynamic Azul-marinho Olympikus ,279,99,210,99,4.8,(593)
FILA,Tênis Casual Masculino Euro Jogger Fila Moderno Azul,493,99,49,40,,
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,159,90,4.5,(5420)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,72,58,4.6,(3021)
PUMA,Tênis Puma St Runner V2 - Masculino - Original + Brinde + Nf,429,90,399,80,,
SAPATOFRAN,Tênis Sapatênis Esportivo Para Academia X-try Original Leve,84,90,8,25,4.1,(319)
FILA,Tênis Fila Fire Masculino / Feminino - Original ,349,99,248,49,4.5,(6)
FILA,Tênis Fila Original Action Masculino Corrida Treino Sport,233,76,184,30,4.0,(21)
DM DAMANDO,Tenis Masculino Esportivo Black Academia Corrida Caminhada,72,90,24,30,4.4,(32)
POLO JOY,Tenis Meia Polo Joy Masculino Caminhada Original Confortavel,129,99,123,49,4.7,(12)
RAINHA,Tênis Rainha Vl 2500 Futsal Vôlei Academia Capoeira Corrida,78,90,7,67,4.6,(743)
OUSY SHOES,Tênis Caminhada Training Leve Masculino + Boné + Relógio,129,90,81,87,4.3,(401)
MIZUNO,Mizuno Space 3 Masculino Adultos,199,17,33,,4.8,(1411)
OLYMPIKUS,Olympikus Perfect 4 Preto Original® Adultos,279,90,249,11,,
TMC,Tênis Masculino Academia Olympiko Esportivo Barato Original,78,90,61,54,4.4,(179)
OLYMPIKUS,Tênis Masculino Olympikus Estilo Original ,259,99,200,45,4.6,(14)
ADAPTION,Adaption Easy Masculino Adultos,49,90,4,84,4.3,(1383)
FILA,Tênis Fila Efecto Masculino / Feminino - Original,299,99,224,99,5.0,(4)
